Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .3656E-01 .3663E-01 .6914E-04 .6914E-04 .3656E-01 .3663E-01
.3510E+03 .3804E-01 .3812E-01 .7693E-04 .7693E-04 .3804E-01 .3812E-01
.3520E+03 .3558E-01 .3565E-01 .7717E-04 .7717E-04 .3558E-01 .3565E-01
.3530E+03 .3573E-01 .3582E-01 .8333E-04 .8333E-04 .3573E-01 .3582E-01
.3540E+03 .4149E-01 .4159E-01 .1025E-03 .1025E-03 .4149E-01 .4159E-01
.3550E+03 .4178E-01 .4189E-01 .1103E-03 .1103E-03 .4178E-01 .4189E-01
.3560E+03 .3780E-01 .3790E-01 .1074E-03 .1074E-03 .3780E-01 .3790E-01
.3570E+03 .3107E-01 .3116E-01 .9345E-04 .9345E-04 .3107E-01 .3116E-01
.3580E+03 .2919E-01 .2929E-01 .9302E-04 .9302E-04 .2919E-01 .2929E-01
.3590E+03 .3178E-01 .3189E-01 .1071E-03 .1071E-03 .3178E-01 .3189E-01
.3600E+03 .4034E-01 .4048E-01 .1439E-03 .1439E-03 .4034E-01 .4048E-01
.3610E+03 .3503E-01 .3517E-01 .1330E-03 .1330E-03 .3503E-01 .3517E-01
.3620E+03 .3593E-01 .3608E-01 .1474E-03 .1474E-03 .3593E-01 .3608E-01
.3630E+03 .4040E-01 .4058E-01 .1782E-03 .1782E-03 .4040E-01 .4058E-01
.3640E+03 .4060E-01 .4079E-01 .1913E-03 .1913E-03 .4060E-01 .4079E-01
.3650E+03 .4165E-01 .4185E-01 .2078E-03 .2078E-03 .4165E-01 .4185E-01
.3660E+03 .4901E-01 .4927E-01 .2597E-03 .2597E-03 .4901E-01 .4927E-01
.3670E+03 .4808E-01 .4835E-01 .2696E-03 .2696E-03 .4808E-01 .4835E-01
.3680E+03 .4429E-01 .4455E-01 .2614E-03 .2614E-03 .4429E-01 .4455E-01
.3690E+03 .4588E-01 .4617E-01 .2872E-03 .2872E-03 .4588E-01 .4617E-01
.3700E+03 .4989E-01 .5022E-01 .3310E-03 .3310E-03 .4989E-01 .5022E-01
.3710E+03 .4572E-01 .4604E-01 .3209E-03 .3209E-03 .4572E-01 .4604E-01
.3720E+03 .4438E-01 .4470E-01 .3271E-03 .3271E-03 .4438E-01 .4470E-01
.3730E+03 .4064E-01 .4095E-01 .3163E-03 .3163E-03 .4064E-01 .4095E-01
.3740E+03 .3646E-01 .3675E-01 .2990E-03 .2990E-03 .3646E-01 .3675E-01
.3750E+03 .3854E-01 .3887E-01 .3326E-03 .3326E-03 .3854E-01 .3887E-01
.3760E+03 .4403E-01 .4443E-01 .3974E-03 .3974E-03 .4403E-01 .4443E-01
.3770E+03 .4639E-01 .4682E-01 .4389E-03 .4389E-03 .4639E-01 .4682E-01
.3780E+03 .5564E-01 .5619E-01 .5501E-03 .5501E-03 .5564E-01 .5619E-01
.3790E+03 .4826E-01 .4876E-01 .4969E-03 .4969E-03 .4826E-01 .4876E-01
.3800E+03 .4539E-01 .4587E-01 .4866E-03 .4866E-03 .4539E-01 .4587E-01
