Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .2901E-01 .2902E-01 .9977E-05 .9977E-05 .2901E-01 .2902E-01
.3510E+03 .3018E-01 .3019E-01 .1128E-04 .1128E-04 .3018E-01 .3019E-01
.3520E+03 .2821E-01 .2822E-01 .1150E-04 .1150E-04 .2821E-01 .2822E-01
.3530E+03 .2836E-01 .2837E-01 .1264E-04 .1264E-04 .2836E-01 .2837E-01
.3540E+03 .3293E-01 .3295E-01 .1577E-04 .1577E-04 .3293E-01 .3295E-01
.3550E+03 .3316E-01 .3318E-01 .1726E-04 .1726E-04 .3316E-01 .3318E-01
.3560E+03 .3000E-01 .3002E-01 .1709E-04 .1709E-04 .3000E-01 .3002E-01
.3570E+03 .2465E-01 .2467E-01 .1507E-04 .1507E-04 .2465E-01 .2467E-01
.3580E+03 .2317E-01 .2318E-01 .1521E-04 .1521E-04 .2317E-01 .2318E-01
.3590E+03 .2522E-01 .2523E-01 .1774E-04 .1774E-04 .2522E-01 .2523E-01
.3600E+03 .3199E-01 .3202E-01 .2414E-04 .2414E-04 .3199E-01 .3202E-01
.3610E+03 .2779E-01 .2781E-01 .2265E-04 .2265E-04 .2779E-01 .2781E-01
.3620E+03 .2849E-01 .2852E-01 .2559E-04 .2559E-04 .2849E-01 .2852E-01
.3630E+03 .3203E-01 .3207E-01 .3151E-04 .3151E-04 .3203E-01 .3207E-01
.3640E+03 .3219E-01 .3222E-01 .3437E-04 .3437E-04 .3219E-01 .3222E-01
.3650E+03 .3300E-01 .3304E-01 .3786E-04 .3786E-04 .3300E-01 .3304E-01
.3660E+03 .3883E-01 .3888E-01 .4802E-04 .4802E-04 .3883E-01 .3888E-01
.3670E+03 .3808E-01 .3814E-01 .5052E-04 .5052E-04 .3808E-01 .3814E-01
.3680E+03 .3507E-01 .3512E-01 .4961E-04 .4961E-04 .3507E-01 .3512E-01
.3690E+03 .3632E-01 .3638E-01 .5527E-04 .5527E-04 .3632E-01 .3638E-01
.3700E+03 .3948E-01 .3955E-01 .6459E-04 .6459E-04 .3948E-01 .3955E-01
