Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .2534E-01 .2534E-01 .2624E-05 .2624E-05 .2534E-01 .2534E-01
.3510E+03 .2636E-01 .2636E-01 .3000E-05 .3000E-05 .2636E-01 .2636E-01
.3520E+03 .2464E-01 .2464E-01 .3095E-05 .3095E-05 .2464E-01 .2464E-01
.3530E+03 .2478E-01 .2478E-01 .3442E-05 .3442E-05 .2478E-01 .2478E-01
.3540E+03 .2878E-01 .2879E-01 .4339E-05 .4339E-05 .2878E-01 .2879E-01
.3550E+03 .2898E-01 .2899E-01 .4799E-05 .4799E-05 .2898E-01 .2899E-01
.3560E+03 .2622E-01 .2623E-01 .4808E-05 .4808E-05 .2622E-01 .2623E-01
.3570E+03 .2155E-01 .2156E-01 .4281E-05 .4281E-05 .2155E-01 .2156E-01
.3580E+03 .2025E-01 .2026E-01 .4360E-05 .4360E-05 .2025E-01 .2026E-01
.3590E+03 .2204E-01 .2205E-01 .5133E-05 .5133E-05 .2204E-01 .2205E-01
.3600E+03 .2796E-01 .2797E-01 .7049E-05 .7049E-05 .2796E-01 .2797E-01
.3610E+03 .2429E-01 .2429E-01 .6685E-05 .6685E-05 .2429E-01 .2429E-01
.3620E+03 .2490E-01 .2491E-01 .7654E-05 .7654E-05 .2490E-01 .2491E-01
.3630E+03 .2799E-01 .2800E-01 .9540E-05 .9540E-05 .2799E-01 .2800E-01
.3640E+03 .2812E-01 .2813E-01 .1052E-04 .1052E-04 .2812E-01 .2813E-01
.3650E+03 .2883E-01 .2884E-01 .1171E-04 .1171E-04 .2883E-01 .2884E-01
.3660E+03 .3391E-01 .3393E-01 .1500E-04 .1500E-04 .3391E-01 .3393E-01
.3670E+03 .3326E-01 .3327E-01 .1593E-04 .1593E-04 .3326E-01 .3327E-01
.3680E+03 .3062E-01 .3064E-01 .1578E-04 .1578E-04 .3062E-01 .3064E-01
.3690E+03 .3170E-01 .3172E-01 .1775E-04 .1775E-04 .3170E-01 .3172E-01
.3700E+03 .3445E-01 .3448E-01 .2094E-04 .2094E-04 .3445E-01 .3448E-01
.3710E+03 .3156E-01 .3158E-01 .2078E-04 .2078E-04 .3156E-01 .3158E-01
.3720E+03 .3061E-01 .3063E-01 .2161E-04 .2161E-04 .3061E-01 .3063E-01
.3730E+03 .2802E-01 .2804E-01 .2136E-04 .2136E-04 .2802E-01 .2804E-01
.3740E+03 .2512E-01 .2514E-01 .2063E-04 .2063E-04 .2512E-01 .2514E-01
.3750E+03 .2654E-01 .2656E-01 .2342E-04 .2342E-04 .2654E-01 .2656E-01
.3760E+03 .3030E-01 .3033E-01 .2851E-04 .2851E-04 .3030E-01 .3033E-01
.3770E+03 .3190E-01 .3193E-01 .3209E-04 .3209E-04 .3190E-01 .3193E-01
.3780E+03 .3824E-01 .3828E-01 .4092E-04 .4092E-04 .3824E-01 .3828E-01
.3790E+03 .3315E-01 .3319E-01 .3757E-04 .3757E-04 .3315E-01 .3319E-01
.3800E+03 .3115E-01 .3119E-01 .3741E-04 .3741E-04 .3115E-01 .3119E-01
.3810E+03 .3389E-01 .3393E-01 .4388E-04 .4388E-04 .3389E-01 .3393E-01
.3820E+03 .2598E-01 .2602E-01 .3632E-04 .3632E-04 .2598E-01 .2602E-01
.3830E+03 .2011E-01 .2014E-01 .3028E-04 .3028E-04 .2011E-01 .2014E-01
.3840E+03 .2247E-01 .2251E-01 .3614E-04 .3614E-04 .2247E-01 .2251E-01
.3850E+03 .2963E-01 .2968E-01 .5086E-04 .5086E-04 .2963E-01 .2968E-01
.3860E+03 .2726E-01 .2731E-01 .5002E-04 .5002E-04 .2726E-01 .2731E-01
.3870E+03 .2854E-01 .2860E-01 .5579E-04 .5579E-04 .2854E-01 .2860E-01
.3880E+03 .2779E-01 .2785E-01 .5769E-04 .5769E-04 .2779E-01 .2785E-01
.3890E+03 .2990E-01 .2997E-01 .6595E-04 .6595E-04 .2990E-01 .2997E-01
.3900E+03 .3470E-01 .3478E-01 .8130E-04 .8130E-04 .3470E-01 .3478E-01
.3910E+03 .3699E-01 .3708E-01 .9194E-04 .9194E-04 .3699E-01 .3708E-01
.3920E+03 .3447E-01 .3456E-01 .9046E-04 .9046E-04 .3447E-01 .3456E-01
.3930E+03 .2077E-01 .2082E-01 .5794E-04 .5794E-04 .2077E-01 .2082E-01
.3940E+03 .2141E-01 .2147E-01 .6321E-04 .6321E-04 .2141E-01 .2147E-01
.3950E+03 .3482E-01 .3493E-01 .1086E-03 .1086E-03 .3482E-01 .3493E-01
.3960E+03 .3255E-01 .3265E-01 .1069E-03 .1069E-03 .3255E-01 .3265E-01
.3970E+03 .1831E-01 .1837E-01 .6376E-04 .6376E-04 .1831E-01 .1837E-01
