Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .5166E-01 .5250E-01 .8429E-03 .8429E-03 .5166E-01 .5250E-01
.3510E+03 .5378E-01 .5470E-01 .9191E-03 .9191E-03 .5378E-01 .5470E-01
.3520E+03 .5031E-01 .5121E-01 .9026E-03 .9026E-03 .5031E-01 .5121E-01
.3530E+03 .5044E-01 .5139E-01 .9522E-03 .9522E-03 .5044E-01 .5139E-01
.3540E+03 .5849E-01 .5964E-01 .1149E-02 .1149E-02 .5849E-01 .5964E-01
.3550E+03 .5891E-01 .6012E-01 .1213E-02 .1213E-02 .5891E-01 .6012E-01
.3560E+03 .5325E-01 .5441E-01 .1154E-02 .1154E-02 .5325E-01 .5441E-01
.3570E+03 .4376E-01 .4475E-01 .9865E-03 .9865E-03 .4376E-01 .4475E-01
.3580E+03 .4110E-01 .4206E-01 .9648E-03 .9648E-03 .4110E-01 .4206E-01
.3590E+03 .4473E-01 .4582E-01 .1093E-02 .1093E-02 .4473E-01 .4582E-01
.3600E+03 .5678E-01 .5822E-01 .1443E-02 .1443E-02 .5678E-01 .5822E-01
.3610E+03 .4927E-01 .5058E-01 .1307E-02 .1307E-02 .4927E-01 .5058E-01
.3620E+03 .5050E-01 .5191E-01 .1413E-02 .1413E-02 .5050E-01 .5191E-01
.3630E+03 .5677E-01 .5844E-01 .1669E-02 .1669E-02 .5677E-01 .5844E-01
.3640E+03 .5703E-01 .5879E-01 .1755E-02 .1755E-02 .5703E-01 .5879E-01
.3650E+03 .5848E-01 .6035E-01 .1872E-02 .1872E-02 .5848E-01 .6035E-01
.3660E+03 .6879E-01 .7109E-01 .2296E-02 .2296E-02 .6879E-01 .7109E-01
.3670E+03 .6746E-01 .6980E-01 .2342E-02 .2342E-02 .6746E-01 .6980E-01
.3680E+03 .6213E-01 .6436E-01 .2235E-02 .2235E-02 .6213E-01 .6436E-01
.3690E+03 .6434E-01 .6675E-01 .2411E-02 .2411E-02 .6434E-01 .6675E-01
.3700E+03 .6992E-01 .7265E-01 .2728E-02 .2728E-02 .6992E-01 .7265E-01
.3710E+03 .6406E-01 .6666E-01 .2599E-02 .2599E-02 .6406E-01 .6666E-01
.3720E+03 .6214E-01 .6475E-01 .2609E-02 .2609E-02 .6214E-01 .6475E-01
