Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .4045E-01 .4059E-01 .1419E-03 .1419E-03 .4045E-01 .4059E-01
.3510E+03 .4209E-01 .4225E-01 .1570E-03 .1570E-03 .4209E-01 .4225E-01
.3520E+03 .3937E-01 .3953E-01 .1565E-03 .1565E-03 .3937E-01 .3953E-01
.3530E+03 .3953E-01 .3970E-01 .1679E-03 .1679E-03 .3953E-01 .3970E-01
.3540E+03 .4588E-01 .4609E-01 .2053E-03 .2053E-03 .4588E-01 .4609E-01
.3550E+03 .4621E-01 .4643E-01 .2198E-03 .2198E-03 .4621E-01 .4643E-01
.3560E+03 .4180E-01 .4202E-01 .2126E-03 .2126E-03 .4180E-01 .4202E-01
.3570E+03 .3436E-01 .3455E-01 .1841E-03 .1841E-03 .3436E-01 .3455E-01
.3580E+03 .3229E-01 .3247E-01 .1823E-03 .1823E-03 .3229E-01 .3247E-01
.3590E+03 .3515E-01 .3536E-01 .2090E-03 .2090E-03 .3515E-01 .3536E-01
.3600E+03 .4462E-01 .4490E-01 .2794E-03 .2794E-03 .4462E-01 .4490E-01
.3610E+03 .3875E-01 .3901E-01 .2567E-03 .2567E-03 .3875E-01 .3901E-01
.3620E+03 .3974E-01 .4002E-01 .2825E-03 .2825E-03 .3974E-01 .4002E-01
.3630E+03 .4469E-01 .4503E-01 .3393E-03 .3393E-03 .4469E-01 .4503E-01
.3640E+03 .4491E-01 .4527E-01 .3621E-03 .3621E-03 .4491E-01 .4527E-01
.3650E+03 .4607E-01 .4646E-01 .3913E-03 .3913E-03 .4607E-01 .4646E-01
.3660E+03 .5421E-01 .5470E-01 .4865E-03 .4865E-03 .5421E-01 .5470E-01
.3670E+03 .5318E-01 .5369E-01 .5025E-03 .5025E-03 .5318E-01 .5369E-01
.3680E+03 .4900E-01 .4948E-01 .4850E-03 .4850E-03 .4900E-01 .4948E-01
.3690E+03 .5076E-01 .5129E-01 .5301E-03 .5301E-03 .5076E-01 .5129E-01
.3700E+03 .5519E-01 .5580E-01 .6078E-03 .6078E-03 .5519E-01 .5580E-01
.3710E+03 .5058E-01 .5117E-01 .5865E-03 .5865E-03 .5058E-01 .5117E-01
.3720E+03 .4909E-01 .4969E-01 .5951E-03 .5951E-03 .4909E-01 .4969E-01
.3730E+03 .4496E-01 .4553E-01 .5727E-03 .5727E-03 .4496E-01 .4553E-01
.3740E+03 .4033E-01 .4087E-01 .5389E-03 .5389E-03 .4033E-01 .4087E-01
.3750E+03 .4263E-01 .4323E-01 .5967E-03 .5967E-03 .4263E-01 .4323E-01
.3760E+03 .4872E-01 .4943E-01 .7102E-03 .7102E-03 .4872E-01 .4943E-01
.3770E+03 .5132E-01 .5210E-01 .7811E-03 .7811E-03 .5132E-01 .5210E-01
.3780E+03 .6155E-01 .6253E-01 .9755E-03 .9755E-03 .6155E-01 .6253E-01
.3790E+03 .5340E-01 .5428E-01 .8780E-03 .8780E-03 .5340E-01 .5428E-01
.3800E+03 .5021E-01 .5107E-01 .8567E-03 .8567E-03 .5021E-01 .5107E-01
.3810E+03 .5466E-01 .5564E-01 .9785E-03 .9785E-03 .5466E-01 .5564E-01
.3820E+03 .4193E-01 .4272E-01 .7883E-03 .7883E-03 .4193E-01 .4272E-01
.3830E+03 .3247E-01 .3311E-01 .6402E-03 .6402E-03 .3247E-01 .3311E-01
.3840E+03 .3631E-01 .3706E-01 .7462E-03 .7462E-03 .3631E-01 .3706E-01
.3850E+03 .4791E-01 .4894E-01 .1026E-02 .1026E-02 .4791E-01 .4894E-01
.3860E+03 .4410E-01 .4509E-01 .9864E-03 .9864E-03 .4410E-01 .4509E-01
.3870E+03 .4620E-01 .4727E-01 .1076E-02 .1076E-02 .4620E-01 .4727E-01
