Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.4130E+03 .2250E-01 .2251E-01 .4911E-05 .4911E-05 .2250E-01 .2251E-01
.4140E+03 .2223E-01 .2224E-01 .5224E-05 .5224E-05 .2223E-01 .2224E-01
.4150E+03 .2298E-01 .2298E-01 .5805E-05 .5805E-05 .2298E-01 .2298E-01
.4160E+03 .2363E-01 .2363E-01 .6433E-05 .6433E-05 .2363E-01 .2363E-01
.4170E+03 .2301E-01 .2301E-01 .6685E-05 .6685E-05 .2301E-01 .2301E-01
.4180E+03 .2198E-01 .2199E-01 .6817E-05 .6817E-05 .2198E-01 .2199E-01
.4190E+03 .2286E-01 .2287E-01 .7568E-05 .7568E-05 .2286E-01 .2287E-01
.4200E+03 .2093E-01 .2094E-01 .7372E-05 .7372E-05 .2093E-01 .2094E-01
.4210E+03 .2374E-01 .2375E-01 .8930E-05 .8930E-05 .2374E-01 .2375E-01
.4220E+03 .2337E-01 .2338E-01 .9365E-05 .9365E-05 .2337E-01 .2338E-01
.4230E+03 .2258E-01 .2259E-01 .9650E-05 .9650E-05 .2258E-01 .2259E-01
.4240E+03 .2241E-01 .2242E-01 .1017E-04 .1017E-04 .2241E-01 .2242E-01
.4250E+03 .2306E-01 .2307E-01 .1117E-04 .1117E-04 .2306E-01 .2307E-01
.4260E+03 .2239E-01 .2240E-01 .1161E-04 .1161E-04 .2239E-01 .2240E-01
.4270E+03 .2163E-01 .2164E-01 .1185E-04 .1185E-04 .2163E-01 .2164E-01
.4280E+03 .2183E-01 .2185E-01 .1262E-04 .1262E-04 .2183E-01 .2185E-01
.4290E+03 .2022E-01 .2023E-01 .1249E-04 .1249E-04 .2022E-01 .2023E-01
.4300E+03 .1612E-01 .1613E-01 .1055E-04 .1055E-04 .1612E-01 .1613E-01
.4310E+03 .1461E-01 .1462E-01 .1004E-04 .1004E-04 .1461E-01 .1462E-01
.4320E+03 .2426E-01 .2428E-01 .1779E-04 .1779E-04 .2426E-01 .2428E-01
.4330E+03 .2254E-01 .2256E-01 .1749E-04 .1749E-04 .2254E-01 .2256E-01
.4340E+03 .2081E-01 .2083E-01 .1696E-04 .1696E-04 .2081E-01 .2083E-01
.4350E+03 .2283E-01 .2284E-01 .1949E-04 .1949E-04 .2283E-01 .2284E-01
.4360E+03 .2503E-01 .2505E-01 .2272E-04 .2272E-04 .2503E-01 .2505E-01
.4370E+03 .2552E-01 .2555E-01 .2463E-04 .2463E-04 .2552E-01 .2555E-01
.4380E+03 .2235E-01 .2238E-01 .2283E-04 .2283E-04 .2235E-01 .2238E-01
.4390E+03 .2144E-01 .2146E-01 .2266E-04 .2266E-04 .2144E-01 .2146E-01
.4400E+03 .2452E-01 .2454E-01 .2745E-04 .2745E-04 .2452E-01 .2454E-01
.4410E+03 .2412E-01 .2415E-01 .2868E-04 .2868E-04 .2412E-01 .2415E-01
.4420E+03 .2576E-01 .2579E-01 .3190E-04 .3190E-04 .2576E-01 .2579E-01
.4430E+03 .2606E-01 .2609E-01 .3260E-04 .3260E-04 .2606E-01 .2609E-01
.4440E+03 .2544E-01 .2548E-01 .3409E-04 .3409E-04 .2544E-01 .2548E-01
.4450E+03 .2643E-01 .2647E-01 .3648E-04 .3648E-04 .2643E-01 .2647E-01
.4460E+03 .2375E-01 .2378E-01 .3453E-04 .3453E-04 .2375E-01 .2378E-01
.4470E+03 .2704E-01 .2708E-01 .4221E-04 .4221E-04 .2704E-01 .2708E-01
.4480E+03 .2733E-01 .2737E-01 .4435E-04 .4435E-04 .2733E-01 .2737E-01
.4490E+03 .2722E-01 .2727E-01 .4724E-04 .4724E-04 .2722E-01 .2727E-01
.4500E+03 .2817E-01 .2822E-01 .5151E-04 .5151E-04 .2817E-01 .2822E-01
.4510E+03 .2919E-01 .2924E-01 .5584E-04 .5584E-04 .2919E-01 .2924E-01
.4520E+03 .2795E-01 .2801E-01 .5583E-04 .5583E-04 .2795E-01 .2801E-01
.4530E+03 .2583E-01 .2588E-01 .5386E-04 .5386E-04 .2583E-01 .2588E-01
.4540E+03 .2771E-01 .2777E-01 .6063E-04 .6063E-04 .2771E-01 .2777E-01
.4550E+03 .2746E-01 .2752E-01 .6260E-04 .6260E-04 .2746E-01 .2752E-01
.4560E+03 .2831E-01 .2838E-01 .6747E-04 .6747E-04 .2831E-01 .2838E-01
.4570E+03 .2845E-01 .2852E-01 .7082E-04 .7082E-04 .2845E-01 .2852E-01
.4580E+03 .2773E-01 .2780E-01 .7148E-04 .7148E-04 .2773E-01 .2780E-01
.4590E+03 .2739E-01 .2746E-01 .7398E-04 .7398E-04 .2739E-01 .2746E-01
.4600E+03 .2710E-01 .2718E-01 .7604E-04 .7604E-04 .2710E-01 .2718E-01
.4610E+03 .2798E-01 .2807E-01 .8188E-04 .8188E-04 .2798E-01 .2807E-01
.4620E+03 .2825E-01 .2833E-01 .8636E-04 .8636E-04 .2825E-01 .2833E-01
.4630E+03 .2840E-01 .2849E-01 .8925E-04 .8925E-04 .2840E-01 .2849E-01
.4640E+03 .2763E-01 .2772E-01 .9051E-04 .9051E-04 .2763E-01 .2772E-01
.4650E+03 .2738E-01 .2748E-01 .9364E-04 .9364E-04 .2738E-01 .2748E-01
.4660E+03 .2801E-01 .2811E-01 .9971E-04 .9971E-04 .2801E-01 .2811E-01
.4670E+03 .2673E-01 .2683E-01 .9750E-04 .9750E-04 .2673E-01 .2683E-01
.4680E+03 .2783E-01 .2793E-01 .1051E-03 .1051E-03 .2783E-01 .2793E-01
.4690E+03 .2787E-01 .2798E-01 .1085E-03 .1085E-03 .2787E-01 .2798E-01
.4700E+03 .2674E-01 .2685E-01 .1058E-03 .1058E-03 .2674E-01 .2685E-01
.4710E+03 .2720E-01 .2731E-01 .1117E-03 .1117E-03 .2720E-01 .2731E-01
.4720E+03 .2863E-01 .2875E-01 .1203E-03 .1203E-03 .2863E-01 .2875E-01
.4730E+03 .2753E-01 .2765E-01 .1184E-03 .1184E-03 .2753E-01 .2765E-01
.4740E+03 .2782E-01 .2794E-01 .1220E-03 .1220E-03 .2782E-01 .2794E-01
.4750E+03 .2866E-01 .2878E-01 .1270E-03 .1270E-03 .2866E-01 .2878E-01
