Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .2347E+00 .3630E+00
.3510E+03 .2437E+00 .3808E+00
.3520E+03 .2275E+00 .3586E+00
.3530E+03 .2236E+00 .3608E+00
.3540E+03 .2560E+00 .4206E+00
.3550E+03 .2562E+00 .4262E+00
.3560E+03 .2292E+00 .3868E+00
.3570E+03 .1869E+00 .3199E+00
.3580E+03 .1739E+00 .3020E+00
.3590E+03 .1878E+00 .3306E+00
.3600E+03 .2371E+00 .4224E+00
.3610E+03 .2036E+00 .3681E+00
.3620E+03 .2067E+00 .3784E+00
.3630E+03 .2304E+00 .4270E+00
.3640E+03 .2297E+00 .4308E+00
.3650E+03 .2338E+00 .4441E+00
.3660E+03 .2728E+00 .5246E+00
.3670E+03 .2653E+00 .5167E+00
.3680E+03 .2424E+00 .4782E+00
.3690E+03 .2492E+00 .4974E+00
.3700E+03 .2686E+00 .5426E+00
.3710E+03 .2442E+00 .4991E+00
.3720E+03 .2350E+00 .4864E+00
.3730E+03 .2135E+00 .4471E+00
.3740E+03 .1900E+00 .4026E+00
.3750E+03 .1992E+00 .4271E+00
.3760E+03 .2258E+00 .4900E+00
.3770E+03 .2359E+00 .5180E+00
.3780E+03 .2807E+00 .6237E+00
.3790E+03 .2416E+00 .5432E+00
.3800E+03 .2254E+00 .5129E+00
.3810E+03 .2434E+00 .5599E+00
.3820E+03 .1852E+00 .4307E+00
.3830E+03 .1423E+00 .3344E+00
.3840E+03 .1579E+00 .3751E+00
.3850E+03 .2066E+00 .4964E+00
.3860E+03 .1887E+00 .4583E+00
.3870E+03 .1961E+00 .4814E+00
.3880E+03 .1896E+00 .4706E+00
.3890E+03 .2025E+00 .5080E+00
.3900E+03 .2334E+00 .5915E+00
.3910E+03 .2470E+00 .6327E+00
.3920E+03 .2285E+00 .5916E+00
.3930E+03 .1367E+00 .3575E+00
.3940E+03 .1399E+00 .3698E+00
.3950E+03 .2259E+00 .6033E+00
.3960E+03 .2096E+00 .5658E+00
.3970E+03 .1170E+00 .3191E+00
.3980E+03 .2319E+00 .6391E+00
.3990E+03 .2883E+00 .8023E+00
.4000E+03 .2977E+00 .8370E+00
.4010E+03 .3045E+00 .8726E+00
.4020E+03 .3138E+00 .9080E+00
.4030E+03 .2996E+00 .8752E+00
.4040E+03 .3018E+00 .8903E+00
.4050E+03 .2919E+00 .8694E+00
.4060E+03 .2823E+00 .8486E+00
.4070E+03 .2750E+00 .8342E+00
.4080E+03 .2847E+00 .8722E+00
.4090E+03 .3015E+00 .9324E+00
.4100E+03 .2548E+00 .7955E+00
.4110E+03 .2829E+00 .8913E+00
.4120E+03 .2983E+00 .9480E+00
.4130E+03 .2837E+00 .9105E+00
.4140E+03 .2784E+00 .9014E+00
.4150E+03 .2858E+00 .9338E+00
.4160E+03 .2920E+00 .9624E+00
.4170E+03 .2825E+00 .9395E+00
.4180E+03 .2681E+00 .8996E+00
.4190E+03 .2768E+00 .9371E+00
.4200E+03 .2516E+00 .8595E+00
.4210E+03 .2835E+00 .9770E+00
.4220E+03 .2774E+00 .9645E+00
.4230E+03 .2665E+00 .9347E+00
.4240E+03 .2629E+00 .9305E+00
.4250E+03 .2689E+00 .9597E+00
.4260E+03 .2593E+00 .9329E+00
.4270E+03 .2485E+00 .9020E+00
.4280E+03 .2490E+00 .9116E+00
.4290E+03 .2288E+00 .8444E+00
.4300E+03 .1811E+00 .6741E+00
.4310E+03 .1631E+00 .6126E+00
.4320E+03 .2694E+00 .1020E+01
.4330E+03 .2487E+00 .9493E+00
.4340E+03 .2280E+00 .8777E+00
.4350E+03 .2482E+00 .9636E+00
.4360E+03 .2702E+00 .1057E+01
.4370E+03 .2737E+00 .1079E+01
.4380E+03 .2385E+00 .9478E+00
.4390E+03 .2276E+00 .9130E+00
.4400E+03 .2590E+00 .1047E+01
.4410E+03 .2536E+00 .1033E+01
.4420E+03 .2694E+00 .1106E+01
.4430E+03 .2707E+00 .1122E+01
.4440E+03 .2622E+00 .1095E+01
.4450E+03 .2701E+00 .1137E+01
.4460E+03 .2404E+00 .1020E+01
.4470E+03 .2717E+00 .1160E+01
.4480E+03 .2729E+00 .1176E+01
.4490E+03 .2705E+00 .1173E+01
.4500E+03 .2784E+00 .1217E+01
.4510E+03 .2867E+00 .1262E+01
.4520E+03 .2725E+00 .1209E+01
.4530E+03 .2499E+00 .1117E+01
.4540E+03 .2662E+00 .1199E+01
.4550E+03 .2624E+00 .1191E+01
.4560E+03 .2692E+00 .1231E+01
.4570E+03 .2695E+00 .1241E+01
.4580E+03 .2618E+00 .1216E+01
.4590E+03 .2580E+00 .1207E+01
.4600E+03 .2545E+00 .1200E+01
.4610E+03 .2616E+00 .1243E+01
.4620E+03 .2623E+00 .1254E+01
.4630E+03 .2613E+00 .1260E+01
.4640E+03 .2517E+00 .1221E+01
.4650E+03 .2470E+00 .1206E+01
.4660E+03 .2505E+00 .1232E+01
.4670E+03 .2377E+00 .1178E+01
.4680E+03 .2463E+00 .1229E+01
.4690E+03 .2457E+00 .1235E+01
.4700E+03 .2345E+00 .1188E+01
.4710E+03 .2369E+00 .1209E+01
.4720E+03 .2475E+00 .1272E+01
.4730E+03 .2364E+00 .1223E+01
.4740E+03 .2374E+00 .1238E+01
.4750E+03 .2436E+00 .1281E+01
.4760E+03 .2337E+00 .1238E+01
.4770E+03 .2335E+00 .1247E+01
.4780E+03 .2396E+00 .1287E+01
.4790E+03 .2335E+00 .1263E+01
.4800E+03 .2359E+00 .1284E+01
.4810E+03 .2345E+00 .1284E+01
.4820E+03 .2339E+00 .1288E+01
.4830E+03 .2297E+00 .1272E+01
.4840E+03 .2239E+00 .1249E+01
.4850E+03 .2217E+00 .1244E+01
.4860E+03 .1786E+00 .1009E+01
.4870E+03 .1988E+00 .1130E+01
.4880E+03 .2138E+00 .1223E+01
.4890E+03 .2001E+00 .1153E+01
.4900E+03 .2223E+00 .1288E+01
.4910E+03 .2124E+00 .1238E+01
.4920E+03 .2013E+00 .1181E+01
.4930E+03 .2140E+00 .1264E+01
.4940E+03 .2076E+00 .1234E+01
.4950E+03 .2190E+00 .1310E+01
.4960E+03 .2070E+00 .1246E+01
.4970E+03 .2093E+00 .1268E+01
.4980E+03 .2023E+00 .1234E+01
.4990E+03 .2011E+00 .1234E+01
.5000E+03 .1991E+00 .1230E+01
.5010E+03 .1918E+00 .1193E+01
.5020E+03 .1901E+00 .1193E+01
.5030E+03 .1972E+00 .1248E+01
.5040E+03 .1806E+00 .1158E+01
.5050E+03 .1945E+00 .1248E+01
.5060E+03 .2007E+00 .1297E+01
.5070E+03 .1906E+00 .1240E+01
.5080E+03 .1849E+00 .1209E+01
.5090E+03 .1929E+00 .1268E+01
.5100E+03 .1869E+00 .1236E+01
.5110E+03 .1896E+00 .1260E+01
.5120E+03 .1936E+00 .1294E+01
.5130E+03 .1808E+00 .1216E+01
.5140E+03 .1760E+00 .1191E+01
.5150E+03 .1800E+00 .1225E+01
.5160E+03 .1805E+00 .1237E+01
.5170E+03 .1462E+00 .1008E+01
.5180E+03 .1662E+00 .1153E+01
.5190E+03 .1601E+00 .1118E+01
.5200E+03 .1738E+00 .1221E+01
.5210E+03 .1740E+00 .1230E+01
.5220E+03 .1768E+00 .1259E+01
.5230E+03 .1657E+00 .1187E+01
.5240E+03 .1770E+00 .1276E+01
.5250E+03 .1746E+00 .1267E+01
.5260E+03 .1688E+00 .1233E+01
.5270E+03 .1467E+00 .1079E+01
.5280E+03 .1670E+00 .1236E+01
.5290E+03 .1737E+00 .1294E+01
.5300E+03 .1660E+00 .1244E+01
.5310E+03 .1741E+00 .1313E+01
.5320E+03 .1700E+00 .1290E+01
.5330E+03 .1509E+00 .1152E+01
.5340E+03 .1608E+00 .1234E+01
.5350E+03 .1623E+00 .1253E+01
.5360E+03 .1683E+00 .1306E+01
.5370E+03 .1549E+00 .1209E+01
.5380E+03 .1617E+00 .1269E+01
.5390E+03 .1568E+00 .1238E+01
.5400E+03 .1504E+00 .1195E+01
.5410E+03 .1433E+00 .1147E+01
.5420E+03 .1550E+00 .1249E+01
.5430E+03 .1522E+00 .1231E+01
.5440E+03 .1562E+00 .1273E+01
.5450E+03 .1520E+00 .1245E+01
.5460E+03 .1494E+00 .1232E+01
.5470E+03 .1509E+00 .1251E+01
.5480E+03 .1460E+00 .1216E+01
.5490E+03 .1499E+00 .1254E+01
.5500E+03 .1479E+00 .1244E+01
.5510E+03 .1471E+00 .1244E+01
.5520E+03 .1493E+00 .1270E+01
.5530E+03 .1443E+00 .1234E+01
