Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.5000E+03 .2596E-01 .2718E-03
.5010E+03 .2497E-01 .2672E-03
.5020E+03 .2471E-01 .2611E-03
.5030E+03 .2560E-01 .2663E-03
.5040E+03 .2346E-01 .2161E-03
.5050E+03 .2535E-01 .2800E-03
.5060E+03 .2631E-01 .2956E-03
.5070E+03 .2519E-01 .2865E-03
.5080E+03 .2467E-01 .2922E-03
.5090E+03 .2598E-01 .3208E-03
.5100E+03 .2541E-01 .3279E-03
.5110E+03 .2595E-01 .3514E-03
.5120E+03 .2665E-01 .3767E-03
.5130E+03 .2500E-01 .3652E-03
.5140E+03 .2441E-01 .3697E-03
.5150E+03 .2505E-01 .3892E-03
.5160E+03 .2522E-01 .4006E-03
.5170E+03 .2051E-01 .3351E-03
.5180E+03 .2342E-01 .3910E-03
.5190E+03 .2265E-01 .3861E-03
.5200E+03 .2467E-01 .4283E-03
.5210E+03 .2476E-01 .4391E-03
.5220E+03 .2520E-01 .4558E-03
.5230E+03 .2367E-01 .4374E-03
.5240E+03 .2529E-01 .4699E-03
.5250E+03 .2491E-01 .4676E-03
.5260E+03 .2407E-01 .4681E-03
.5270E+03 .2089E-01 .4072E-03
.5280E+03 .2375E-01 .4751E-03
.5290E+03 .2470E-01 .4988E-03
.5300E+03 .2362E-01 .4873E-03
.5310E+03 .2479E-01 .5229E-03
.5320E+03 .2426E-01 .5243E-03
.5330E+03 .2162E-01 .4776E-03
.5340E+03 .2315E-01 .5241E-03
.5350E+03 .2351E-01 .5458E-03
.5360E+03 .2454E-01 .5823E-03
.5370E+03 .2271E-01 .5527E-03
.5380E+03 .2384E-01 .5908E-03
.5390E+03 .2320E-01 .5852E-03
.5400E+03 .2232E-01 .5586E-03
.5410E+03 .2132E-01 .5045E-03
.5420E+03 .2310E-01 .5609E-03
.5430E+03 .2271E-01 .5996E-03
.5440E+03 .2337E-01 .5993E-03
.5450E+03 .2280E-01 .6027E-03
.5460E+03 .2247E-01 .5760E-03
.5470E+03 .2277E-01 .6197E-03
.5480E+03 .2211E-01 .6334E-03
.5490E+03 .2278E-01 .6755E-03
.5500E+03 .2257E-01 .6851E-03
.5510E+03 .2251E-01 .7046E-03
.5520E+03 .2293E-01 .7360E-03
.5530E+03 .2223E-01 .7244E-03
.5540E+03 .2260E-01 .7505E-03
.5550E+03 .2265E-01 .7615E-03
.5560E+03 .2218E-01 .7561E-03
.5570E+03 .2154E-01 .7442E-03
.5580E+03 .2188E-01 .7632E-03
.5590E+03 .2057E-01 .7243E-03
.5600E+03 .2081E-01 .7448E-03
.5610E+03 .2188E-01 .7946E-03
.5620E+03 .2070E-01 .7588E-03
.5630E+03 .2135E-01 .7868E-03
.5640E+03 .2084E-01 .7717E-03
.5650E+03 .2088E-01 .7768E-03
.5660E+03 .1967E-01 .7316E-03
.5670E+03 .2087E-01 .7680E-03
.5680E+03 .2053E-01 .6932E-03
.5690E+03 .1975E-01 .6065E-03
.5700E+03 .1979E-01 .6319E-03
.5710E+03 .1920E-01 .6556E-03
.5720E+03 .2010E-01 .6408E-03
.5730E+03 .2016E-01 .6478E-03
.5740E+03 .2005E-01 .6365E-03
.5750E+03 .1959E-01 .6066E-03
.5760E+03 .1946E-01 .6040E-03
.5770E+03 .2001E-01 .6297E-03
.5780E+03 .1947E-01 .6539E-03
.5790E+03 .1983E-01 .7191E-03
.5800E+03 .2023E-01 .8000E-03
.5810E+03 .2040E-01 .8654E-03
.5820E+03 .2076E-01 .9281E-03
.5830E+03 .2102E-01 .9866E-03
.5840E+03 .2100E-01 .1011E-02
.5850E+03 .2084E-01 .1022E-02
.5860E+03 .2031E-01 .9910E-03
.5870E+03 .2067E-01 .9367E-03
.5880E+03 .1981E-01 .7556E-03
.5890E+03 .1659E-01 .4292E-03
.5900E+03 .1763E-01 .4388E-03
.5910E+03 .1908E-01 .6088E-03
.5920E+03 .1849E-01 .5490E-03
.5930E+03 .1893E-01 .8566E-03
.5940E+03 .1865E-01 .6860E-03
.5950E+03 .1813E-01 .8779E-03
.5960E+03 .1902E-01 .8747E-03
.5970E+03 .1892E-01 .9608E-03
.5980E+03 .1868E-01 .8754E-03
.5990E+03 .1866E-01 .9604E-03
.6000E+03 .1891E-01 .1044E-02
.6010E+03 .1875E-01 .1120E-02
.6020E+03 .1847E-01 .1161E-02
.6030E+03 .1889E-01 .1219E-02
.6040E+03 .1925E-01 .1273E-02
.6050E+03 .1927E-01 .1311E-02
.6060E+03 .1924E-01 .1346E-02
.6070E+03 .1944E-01 .1396E-02
.6080E+03 .1946E-01 .1430E-02
.6090E+03 .1941E-01 .1450E-02
