Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1097E+00 .1894E-01
.3510E+03 .1142E+00 .2024E-01
.3520E+03 .1068E+00 .1940E-01
.3530E+03 .1064E+00 .1994E-01
.3540E+03 .1232E+00 .2375E-01
.3550E+03 .1239E+00 .2451E-01
.3560E+03 .1114E+00 .2263E-01
.3570E+03 .9153E-01 .1907E-01
.3580E+03 .8583E-01 .1834E-01
.3590E+03 .9332E-01 .2045E-01
.3600E+03 .1184E+00 .2659E-01
.3610E+03 .1024E+00 .2357E-01
.3620E+03 .1042E+00 .2458E-01
.3630E+03 .1165E+00 .2814E-01
.3640E+03 .1166E+00 .2882E-01
.3650E+03 .1193E+00 .3019E-01
.3660E+03 .1399E+00 .3620E-01
.3670E+03 .1368E+00 .3621E-01
.3680E+03 .1258E+00 .3406E-01
.3690E+03 .1298E+00 .3593E-01
.3700E+03 .1405E+00 .3976E-01
.3710E+03 .1283E+00 .3708E-01
.3720E+03 .1242E+00 .3669E-01
.3730E+03 .1133E+00 .3418E-01
.3740E+03 .1013E+00 .3121E-01
.3750E+03 .1068E+00 .3357E-01
.3760E+03 .1218E+00 .3907E-01
.3770E+03 .1279E+00 .4187E-01
.3780E+03 .1530E+00 .5111E-01
.3790E+03 .1325E+00 .4515E-01
.3800E+03 .1244E+00 .4323E-01
.3810E+03 .1348E+00 .4774E-01
.3820E+03 .1029E+00 .3714E-01
.3830E+03 .7928E-01 .2917E-01
.3840E+03 .8835E-01 .3312E-01
.3850E+03 .1161E+00 .4435E-01
.3860E+03 .1064E+00 .4140E-01
.3870E+03 .1111E+00 .4399E-01
.3880E+03 .1079E+00 .4350E-01
.3890E+03 .1157E+00 .4749E-01
.3900E+03 .1338E+00 .5591E-01
.3910E+03 .1422E+00 .6047E-01
.3920E+03 .1322E+00 .5719E-01
.3930E+03 .7934E-01 .3491E-01
.3940E+03 .8155E-01 .3649E-01
.3950E+03 .1322E+00 .6017E-01
.3960E+03 .1233E+00 .5705E-01
.3970E+03 .6905E-01 .3248E-01
.3980E+03 .1376E+00 .6577E-01
.3990E+03 .1715E+00 .8334E-01
.4000E+03 .1780E+00 .8788E-01
.4010E+03 .1813E+00 .9249E-01
.4020E+03 .1874E+00 .9712E-01
.4030E+03 .1795E+00 .9446E-01
.4040E+03 .1817E+00 .9704E-01
.4050E+03 .1765E+00 .9568E-01
.4060E+03 .1712E+00 .9420E-01
.4070E+03 .1671E+00 .9338E-01
.4080E+03 .1739E+00 .9860E-01
.4090E+03 .1848E+00 .1063E+00
.4100E+03 .1567E+00 .9151E-01
.4110E+03 .1746E+00 .1034E+00
.4120E+03 .1846E+00 .1109E+00
.4130E+03 .1765E+00 .1075E+00
.4140E+03 .1737E+00 .1073E+00
.4150E+03 .1788E+00 .1120E+00
.4160E+03 .1831E+00 .1163E+00
.4170E+03 .1778E+00 .1144E+00
.4180E+03 .1693E+00 .1105E+00
.4190E+03 .1754E+00 .1160E+00
.4200E+03 .1601E+00 .1072E+00
.4210E+03 .1809E+00 .1228E+00
.4220E+03 .1776E+00 .1222E+00
.4230E+03 .1710E+00 .1192E+00
.4240E+03 .1692E+00 .1196E+00
.4250E+03 .1734E+00 .1242E+00
.4260E+03 .1675E+00 .1215E+00
.4270E+03 .1612E+00 .1183E+00
.4280E+03 .1622E+00 .1205E+00
.4290E+03 .1494E+00 .1123E+00
.4300E+03 .1186E+00 .9029E-01
.4310E+03 .1073E+00 .8267E-01
.4320E+03 .1773E+00 .1384E+00
.4330E+03 .1641E+00 .1297E+00
.4340E+03 .1510E+00 .1208E+00
.4350E+03 .1651E+00 .1336E+00
.4360E+03 .1800E+00 .1474E+00
.4370E+03 .1826E+00 .1512E+00
.4380E+03 .1593E+00 .1335E+00
.4390E+03 .1528E+00 .1297E+00
.4400E+03 .1739E+00 .1495E+00
.4410E+03 .1703E+00 .1481E+00
.4420E+03 .1812E+00 .1593E+00
.4430E+03 .1826E+00 .1618E+00
.4440E+03 .1776E+00 .1595E+00
.4450E+03 .1838E+00 .1667E+00
.4460E+03 .1640E+00 .1503E+00
