Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .9323E-01 .1033E-01
.3510E+03 .9700E-01 .1106E-01
.3520E+03 .9070E-01 .1065E-01
.3530E+03 .9050E-01 .1100E-01
.3540E+03 .1046E+00 .1306E-01
.3550E+03 .1052E+00 .1352E-01
.3560E+03 .9485E-01 .1259E-01
.3570E+03 .7780E-01 .1060E-01
.3580E+03 .7289E-01 .1020E-01
.3590E+03 .7918E-01 .1137E-01
.3600E+03 .1004E+00 .1479E-01
.3610E+03 .8686E-01 .1316E-01
.3620E+03 .8881E-01 .1390E-01
.3630E+03 .9961E-01 .1607E-01
.3640E+03 .9987E-01 .1658E-01
.3650E+03 .1022E+00 .1741E-01
.3660E+03 .1200E+00 .2098E-01
.3670E+03 .1174E+00 .2106E-01
.3680E+03 .1079E+00 .1981E-01
.3690E+03 .1115E+00 .2102E-01
.3700E+03 .1209E+00 .2339E-01
.3710E+03 .1105E+00 .2192E-01
.3720E+03 .1069E+00 .2170E-01
.3730E+03 .9768E-01 .2031E-01
.3740E+03 .8741E-01 .1861E-01
.3750E+03 .9215E-01 .2008E-01
.3760E+03 .1050E+00 .2337E-01
.3770E+03 .1103E+00 .2510E-01
.3780E+03 .1320E+00 .3066E-01
.3790E+03 .1142E+00 .2706E-01
.3800E+03 .1071E+00 .2587E-01
.3810E+03 .1162E+00 .2875E-01
.3820E+03 .8891E-01 .2252E-01
.3830E+03 .6866E-01 .1780E-01
.3840E+03 .7657E-01 .2027E-01
.3850E+03 .1007E+00 .2724E-01
.3860E+03 .9247E-01 .2555E-01
.3870E+03 .9659E-01 .2724E-01
.3880E+03 .9385E-01 .2700E-01
.3890E+03 .1007E+00 .2956E-01
.3900E+03 .1166E+00 .3491E-01
.3910E+03 .1240E+00 .3787E-01
.3920E+03 .1153E+00 .3585E-01
.3930E+03 .6929E-01 .2198E-01
.3940E+03 .7127E-01 .2304E-01
.3950E+03 .1156E+00 .3807E-01
.3960E+03 .1078E+00 .3613E-01
.3970E+03 .6048E-01 .2067E-01
.3980E+03 .1204E+00 .4183E-01
.3990E+03 .1504E+00 .5326E-01
.4000E+03 .1560E+00 .5612E-01
.4010E+03 .1589E+00 .5925E-01
.4020E+03 .1645E+00 .6246E-01
.4030E+03 .1578E+00 .6097E-01
.4040E+03 .1596E+00 .6268E-01
.4050E+03 .1551E+00 .6184E-01
.4060E+03 .1506E+00 .6114E-01
.4070E+03 .1473E+00 .6086E-01
.4080E+03 .1531E+00 .6416E-01
.4090E+03 .1628E+00 .6932E-01
.4100E+03 .1381E+00 .5979E-01
.4110E+03 .1540E+00 .6772E-01
.4120E+03 .1631E+00 .7290E-01
.4130E+03 .1558E+00 .7055E-01
.4140E+03 .1535E+00 .7063E-01
.4150E+03 .1582E+00 .7396E-01
.4160E+03 .1622E+00 .7711E-01
.4170E+03 .1575E+00 .7596E-01
.4180E+03 .1500E+00 .7340E-01
.4190E+03 .1555E+00 .7719E-01
.4200E+03 .1419E+00 .7141E-01
.4210E+03 .1604E+00 .8195E-01
.4220E+03 .1575E+00 .8163E-01
.4230E+03 .1518E+00 .7984E-01
.4240E+03 .1502E+00 .8011E-01
.4250E+03 .1541E+00 .8344E-01
.4260E+03 .1492E+00 .8201E-01
.4270E+03 .1435E+00 .7990E-01
.4280E+03 .1444E+00 .8132E-01
.4290E+03 .1332E+00 .7616E-01
.4300E+03 .1058E+00 .6131E-01
.4310E+03 .9557E-01 .5604E-01
.4320E+03 .1582E+00 .9423E-01
.4330E+03 .1466E+00 .8845E-01
.4340E+03 .1348E+00 .8231E-01
.4350E+03 .1473E+00 .9089E-01
.4360E+03 .1609E+00 .1007E+00
.4370E+03 .1635E+00 .1038E+00
.4380E+03 .1427E+00 .9196E-01
.4390E+03 .1365E+00 .8876E-01
.4400E+03 .1556E+00 .1027E+00
.4410E+03 .1527E+00 .1023E+00
.4420E+03 .1625E+00 .1102E+00
.4430E+03 .1638E+00 .1119E+00
.4440E+03 .1592E+00 .1103E+00
.4450E+03 .1646E+00 .1149E+00
.4460E+03 .1472E+00 .1041E+00
.4470E+03 .1669E+00 .1196E+00
.4480E+03 .1680E+00 .1216E+00
.4490E+03 .1668E+00 .1227E+00
.4500E+03 .1720E+00 .1282E+00
.4510E+03 .1776E+00 .1339E+00
.4520E+03 .1693E+00 .1290E+00
.4530E+03 .1557E+00 .1200E+00
.4540E+03 .1663E+00 .1297E+00
.4550E+03 .1643E+00 .1295E+00
.4560E+03 .1688E+00 .1347E+00
.4570E+03 .1691E+00 .1367E+00
.4580E+03 .1644E+00 .1343E+00
.4590E+03 .1620E+00 .1342E+00
.4600E+03 .1599E+00 .1339E+00
.4610E+03 .1645E+00 .1395E+00
.4620E+03 .1653E+00 .1418E+00
.4630E+03 .1653E+00 .1428E+00
.4640E+03 .1599E+00 .1395E+00
.4650E+03 .1575E+00 .1389E+00
.4660E+03 .1603E+00 .1428E+00
.4670E+03 .1524E+00 .1368E+00
.4680E+03 .1581E+00 .1435E+00
.4690E+03 .1578E+00 .1448E+00
.4700E+03 .1508E+00 .1396E+00
.4710E+03 .1527E+00 .1428E+00
.4720E+03 .1600E+00 .1507E+00
.4730E+03 .1531E+00 .1455E+00
.4740E+03 .1541E+00 .1474E+00
.4750E+03 .1582E+00 .1525E+00
.4760E+03 .1517E+00 .1473E+00
.4770E+03 .1514E+00 .1486E+00
.4780E+03 .1552E+00 .1544E+00
.4790E+03 .1510E+00 .1526E+00
.4800E+03 .1523E+00 .1564E+00
.4810E+03 .1512E+00 .1577E+00
.4820E+03 .1510E+00 .1595E+00
.4830E+03 .1486E+00 .1588E+00
.4840E+03 .1454E+00 .1566E+00
.4850E+03 .1445E+00 .1567E+00
.4860E+03 .1169E+00 .1278E+00
