Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .1545E+00 .6806E-01
.3510E+03 .1608E+00 .7211E-01
.3520E+03 .1502E+00 .6853E-01
.3530E+03 .1490E+00 .6972E-01
.3540E+03 .1721E+00 .8228E-01
.3550E+03 .1728E+00 .8418E-01
.3560E+03 .1549E+00 .7704E-01
.3570E+03 .1271E+00 .6439E-01
.3580E+03 .1189E+00 .6141E-01
.3590E+03 .1290E+00 .6791E-01
.3600E+03 .1635E+00 .8760E-01
.3610E+03 .1411E+00 .7703E-01
.3620E+03 .1432E+00 .7968E-01
.3630E+03 .1598E+00 .9052E-01
.3640E+03 .1596E+00 .9202E-01
.3650E+03 .1631E+00 .9566E-01
.3660E+03 .1907E+00 .1139E+00
.3670E+03 .1862E+00 .1131E+00
.3680E+03 .1709E+00 .1056E+00
.3690E+03 .1760E+00 .1106E+00
.3700E+03 .1902E+00 .1215E+00
.3710E+03 .1733E+00 .1126E+00
.3720E+03 .1675E+00 .1106E+00
.3730E+03 .1525E+00 .1024E+00
.3740E+03 .1361E+00 .9286E-01
.3750E+03 .1431E+00 .9921E-01
.3760E+03 .1629E+00 .1147E+00
.3770E+03 .1708E+00 .1222E+00
.3780E+03 .2040E+00 .1482E+00
.3790E+03 .1764E+00 .1301E+00
.3800E+03 .1653E+00 .1238E+00
.3810E+03 .1788E+00 .1359E+00
.3820E+03 .1362E+00 .1051E+00
.3830E+03 .1048E+00 .8208E-01
.3840E+03 .1166E+00 .9266E-01
.3850E+03 .1529E+00 .1234E+00
.3860E+03 .1399E+00 .1145E+00
.3870E+03 .1458E+00 .1210E+00
.3880E+03 .1413E+00 .1190E+00
.3890E+03 .1513E+00 .1292E+00
.3900E+03 .1747E+00 .1513E+00
.3910E+03 .1854E+00 .1628E+00
.3920E+03 .1721E+00 .1532E+00
.3930E+03 .1031E+00 .9302E-01
.3940E+03 .1058E+00 .9674E-01
.3950E+03 .1712E+00 .1587E+00
