Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .4602E-01 .3632E-03
.3510E+03 .4795E-01 .4004E-03
.3520E+03 .4484E-01 .3955E-03
.3530E+03 .4500E-01 .4211E-03
.3540E+03 .5238E-01 .5183E-03
.3550E+03 .5277E-01 .5512E-03
.3560E+03 .4764E-01 .5250E-03
.3570E+03 .3924E-01 .4559E-03
.3580E+03 .3693E-01 .4518E-03
.3590E+03 .4026E-01 .5185E-03
.3600E+03 .5118E-01 .6931E-03
.3610E+03 .4445E-01 .6326E-03
.3620E+03 .4540E-01 .6785E-03
.3630E+03 .5092E-01 .7985E-03
.3640E+03 .5110E-01 .8403E-03
.3650E+03 .5244E-01 .9038E-03
.3660E+03 .6166E-01 .1113E-02
.3670E+03 .6050E-01 .1143E-02
.3680E+03 .5580E-01 .1102E-02
.3690E+03 .5775E-01 .1193E-02
.3700E+03 .6273E-01 .1353E-02
.3710E+03 .5744E-01 .1294E-02
.3720E+03 .5581E-01 .1311E-02
.3730E+03 .5107E-01 .1251E-02
.3740E+03 .4581E-01 .1169E-02
.3750E+03 .4841E-01 .1287E-02
.3760E+03 .5539E-01 .1533E-02
.3770E+03 .5836E-01 .1681E-02
.3780E+03 .7006E-01 .2098E-02
.3790E+03 .6087E-01 .1894E-02
.3800E+03 .5734E-01 .1853E-02
.3810E+03 .6231E-01 .2091E-02
.3820E+03 .4772E-01 .1662E-02
.3830E+03 .3689E-01 .1332E-02
.3840E+03 .4125E-01 .1544E-02
.3850E+03 .5440E-01 .2110E-02
.3860E+03 .5002E-01 .2010E-02
.3870E+03 .5237E-01 .2179E-02
.3880E+03 .5103E-01 .2197E-02
.3890E+03 .5491E-01 .2445E-02
.3900E+03 .6373E-01 .2933E-02
.3910E+03 .6795E-01 .3232E-02
.3920E+03 .6338E-01 .3114E-02
.3930E+03 .3816E-01 .1936E-02
.3940E+03 .3935E-01 .2061E-02
.3950E+03 .6401E-01 .3459E-02
.3960E+03 .5989E-01 .3337E-02
.3970E+03 .3365E-01 .1933E-02
.3980E+03 .6728E-01 .3983E-02
.3990E+03 .8416E-01 .5133E-02
.4000E+03 .8763E-01 .5505E-02
.4010E+03 .8948E-01 .5890E-02
.4020E+03 .9281E-01 .6286E-02
.4030E+03 .8919E-01 .6213E-02
.4040E+03 .9053E-01 .6485E-02
.4050E+03 .8823E-01 .6496E-02
.4060E+03 .8584E-01 .6495E-02
.4070E+03 .8409E-01 .6538E-02
.4080E+03 .8774E-01 .7008E-02
.4090E+03 .9354E-01 .7671E-02
.4100E+03 .7959E-01 .6699E-02
.4110E+03 .8894E-01 .7681E-02
