Wvlgth Difuse_horizn_irradiance Direct_horizn_irradiance
.3500E+03 .2012E+00 .1860E+00
.3510E+03 .2090E+00 .1957E+00
.3520E+03 .1952E+00 .1850E+00
.3530E+03 .1926E+00 .1868E+00
.3540E+03 .2210E+00 .2184E+00
.3550E+03 .2215E+00 .2221E+00
.3560E+03 .1984E+00 .2024E+00
.3570E+03 .1621E+00 .1678E+00
.3580E+03 .1510E+00 .1589E+00
.3590E+03 .1634E+00 .1744E+00
.3600E+03 .2065E+00 .2235E+00
.3610E+03 .1776E+00 .1954E+00
.3620E+03 .1806E+00 .2017E+00
.3630E+03 .2016E+00 .2284E+00
.3640E+03 .2013E+00 .2313E+00
.3650E+03 .2051E+00 .2390E+00
.3660E+03 .2396E+00 .2833E+00
.3670E+03 .2334E+00 .2798E+00
.3680E+03 .2135E+00 .2596E+00
.3690E+03 .2198E+00 .2709E+00
.3700E+03 .2372E+00 .2964E+00
.3710E+03 .2159E+00 .2734E+00
.3720E+03 .2081E+00 .2671E+00
.3730E+03 .1892E+00 .2462E+00
.3740E+03 .1686E+00 .2223E+00
.3750E+03 .1770E+00 .2365E+00
.3760E+03 .2009E+00 .2719E+00
.3770E+03 .2101E+00 .2881E+00
.3780E+03 .2503E+00 .3477E+00
.3790E+03 .2157E+00 .3034E+00
.3800E+03 .2014E+00 .2870E+00
.3810E+03 .2177E+00 .3142E+00
.3820E+03 .1659E+00 .2424E+00
.3830E+03 .1276E+00 .1887E+00
.3840E+03 .1417E+00 .2122E+00
.3850E+03 .1857E+00 .2815E+00
.3860E+03 .1698E+00 .2605E+00
.3870E+03 .1766E+00 .2743E+00
.3880E+03 .1710E+00 .2687E+00
.3890E+03 .1828E+00 .2907E+00
.3900E+03 .2108E+00 .3392E+00
.3910E+03 .2234E+00 .3636E+00
.3920E+03 .2068E+00 .3406E+00
.3930E+03 .1238E+00 .2063E+00
.3940E+03 .1269E+00 .2138E+00
.3950E+03 .2051E+00 .3495E+00
.3960E+03 .1905E+00 .3284E+00
.3970E+03 .1065E+00 .1856E+00
.3980E+03 .2112E+00 .3724E+00
.3990E+03 .2628E+00 .4685E+00
.4000E+03 .2715E+00 .4895E+00
.4010E+03 .2774E+00 .5113E+00
.4020E+03 .2861E+00 .5331E+00
.4030E+03 .2734E+00 .5148E+00
.4040E+03 .2757E+00 .5246E+00
.4050E+03 .2669E+00 .5131E+00
.4060E+03 .2583E+00 .5018E+00
.4070E+03 .2518E+00 .4942E+00
.4080E+03 .2609E+00 .5174E+00
.4090E+03 .2765E+00 .5540E+00
.4100E+03 .2339E+00 .4735E+00
.4110E+03 .2599E+00 .5314E+00
.4120E+03 .2743E+00 .5663E+00
.4130E+03 .2611E+00 .5445E+00
.4140E+03 .2564E+00 .5399E+00
.4150E+03 .2634E+00 .5603E+00
.4160E+03 .2693E+00 .5785E+00
.4170E+03 .2607E+00 .5655E+00
.4180E+03 .2476E+00 .5422E+00
.4190E+03 .2558E+00 .5657E+00
.4200E+03 .2327E+00 .5195E+00
.4210E+03 .2624E+00 .5914E+00
.4220E+03 .2569E+00 .5847E+00
.4230E+03 .2470E+00 .5674E+00
.4240E+03 .2438E+00 .5655E+00
.4250E+03 .2495E+00 .5842E+00
.4260E+03 .2407E+00 .5688E+00
.4270E+03 .2309E+00 .5506E+00
.4280E+03 .2315E+00 .5571E+00
.4290E+03 .2129E+00 .5169E+00
