Wvlgth Difuse_horizn_irradiance Global_horizn_irradiance Direct_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.3500E+03 .5222E-01 .5289E-01 .6720E-03 .6720E-03 .5222E-01 .5289E-01
.3510E+03 .5436E-01 .5510E-01 .7344E-03 .7344E-03 .5436E-01 .5510E-01
.3520E+03 .5086E-01 .5158E-01 .7229E-03 .7229E-03 .5086E-01 .5158E-01
.3530E+03 .5100E-01 .5177E-01 .7647E-03 .7647E-03 .5100E-01 .5177E-01
.3540E+03 .5916E-01 .6009E-01 .9249E-03 .9249E-03 .5916E-01 .6009E-01
.3550E+03 .5958E-01 .6056E-01 .9780E-03 .9780E-03 .5958E-01 .6056E-01
.3560E+03 .5387E-01 .5480E-01 .9329E-03 .9329E-03 .5387E-01 .5480E-01
.3570E+03 .4427E-01 .4507E-01 .7993E-03 .7993E-03 .4427E-01 .4507E-01
.3580E+03 .4159E-01 .4237E-01 .7832E-03 .7832E-03 .4159E-01 .4237E-01
.3590E+03 .4527E-01 .4615E-01 .8887E-03 .8887E-03 .4527E-01 .4615E-01
.3600E+03 .5746E-01 .5863E-01 .1176E-02 .1176E-02 .5746E-01 .5863E-01
.3610E+03 .4988E-01 .5094E-01 .1067E-02 .1067E-02 .4988E-01 .5094E-01
.3620E+03 .5113E-01 .5228E-01 .1157E-02 .1157E-02 .5113E-01 .5228E-01
.3630E+03 .5748E-01 .5885E-01 .1370E-02 .1370E-02 .5748E-01 .5885E-01
.3640E+03 .5775E-01 .5919E-01 .1444E-02 .1444E-02 .5775E-01 .5919E-01
.3650E+03 .5922E-01 .6077E-01 .1544E-02 .1544E-02 .5922E-01 .6077E-01
.3660E+03 .6967E-01 .7157E-01 .1897E-02 .1897E-02 .6967E-01 .7157E-01
.3670E+03 .6833E-01 .7027E-01 .1939E-02 .1939E-02 .6833E-01 .7027E-01
.3680E+03 .6294E-01 .6479E-01 .1854E-02 .1854E-02 .6294E-01 .6479E-01
.3690E+03 .6518E-01 .6719E-01 .2004E-02 .2004E-02 .6518E-01 .6719E-01
.3700E+03 .7085E-01 .7312E-01 .2272E-02 .2272E-02 .7085E-01 .7312E-01
.3710E+03 .6492E-01 .6709E-01 .2169E-02 .2169E-02 .6492E-01 .6709E-01
.3720E+03 .6299E-01 .6517E-01 .2181E-02 .2181E-02 .6299E-01 .6517E-01
.3730E+03 .5766E-01 .5974E-01 .2077E-02 .2077E-02 .5766E-01 .5974E-01
.3740E+03 .5171E-01 .5365E-01 .1936E-02 .1936E-02 .5171E-01 .5365E-01
